concept,deps,dep_articles
Square root of 2,"['area', 'ratio', 'rectangle']","['Area', 'Ratio', 'Rectangle']"
Linear inequality,"['set', 'number', 'inequality']","['Set (mathematics)', 'Number', 'Inequality (mathematics)']"
Flow (mathematics),"['change', 'state', 'system']","['Rate (mathematics)', 'Function (mathematics)', 'Mathematics']"
N-gram,"['mass', 'unit', 'unit of force']","['Mass', 'Unit (ring theory)', 'Force']"
Minimum spanning tree,"['graph', 'edge', 'tree']","['Graph (discrete mathematics)', 'Graph (discrete mathematics)', 'Tree (graph theory)']"
Compound interest,"['compound', 'interest', 'time']","['Ionic compound', 'Interest', 'Local time (mathematics)']"
Shot grouping,"['set', 'sequence', 'shot']","['Set (mathematics)', 'Sequence', 'Pi (film)']"
Coding theory,"['coding theory', 'theory of computation']",['Theory of computation']
Principal value,"['prime number', 'number', 'sum']","['Prime number', 'Number', 'Series (mathematics)']"
Elimination theory,"['recursion', 'set', 'theory']","['Recursion', 'Set (mathematics)', 'Set theory']"
Conservation law,"['change', 'rate', 'change']","['Rate (mathematics)', 'Rate (mathematics)', 'Rate (mathematics)']"
Cyclic permutation,"['permutation', 'sequence', 'reverse']","['Permutation', 'Sequence', 'Element (mathematics)']"
Right triangle,"['length', 'side', 'triangle']","['Length', 'Parity (mathematics)', 'Triangle']"
Reverse Polish notation,"['digit', 'number', 'system']","['Digit sum', 'Number', 'Mathematics']"
Tridiagonal matrix,"['matrix', 'row', 'column']","['Matrix (mathematics)', 'Rank (linear algebra)', 'Matrix (mathematics)']"
Drinfeld module,"['group', 'element', 'rank']","['Group (mathematics)', 'Element (mathematics)', 'Rank (linear algebra)']"
Invariant subspace,"['subspace', 'transformation', 'invariant']","['Space (mathematics)', 'Transformation (function)', 'Invariant (mathematics)']"
Sampling (statistics),"['population', 'sample', 'sample size']","['World population', 'Sample space']"
Unitary matrix,"['matrix', 'vector', 'combination']","['Matrix (mathematics)', 'Vector (mathematics and physics)', 'Combination']"
Null hypothesis,"['hypothesis', 'true', 'test']","['Hypothesis', 'Mathematics', 'SAT']"
Inverse trigonometric functions,"['inverse trigonometric functions', 'sine', 'cosine']","['Versine', 'Law of cosines']"
Dimensional analysis,"['analyzing', 'technique', 'data']","['Pi (film)', 'Finance', 'Mathematics']"
Group (mathematics),"['set', 'object', 'combination']","['Set (mathematics)', 'Category (mathematics)', 'Combination']"
Translation,"['change', 'direction', 'vector']","['Rate (mathematics)', 'Vector (mathematics and physics)', 'Vector (mathematics and physics)']"
Jacobi operator,"['complex number', 'real number']","['Complex number', 'Real number']"
Dependent type,"['object', 'type', 'manipulate']","['Category (mathematics)', 'OpenType', 'Manipulative (mathematics education)']"
Orthogonal polynomials,"['polynomial', 'root', 'distinct']","['Polynomial', 'Root (disambiguation)', 'Element (mathematics)']"
Distance from a point to a line,"['measure', 'distance', 'point']","['Measure (mathematics)', 'Distance', 'Point (geometry)']"
Mind map,"['diagram', 'concept', 'relationship']","['Diagram (mathematical logic)', 'Concept', 'Spurious relationship']"
Timeline of manifolds,"['spacetime', 'point', 'sequence']","['Spacetime', 'Point (geometry)', 'Sequence']"
Rational function,"['real number', 'function', 'sum']","['Real number', 'Function (mathematics)', 'Series (mathematics)']"
Addition,"['operation', 'mathematical', 'concept']","['Operation (mathematics)', 'Mathematics', 'Concept']"
Commutative ring,"['group', 'element', 'isomorphic']","['Group (mathematics)', 'Element (mathematics)', 'Isomorphism']"
Inverse function theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Carl Friedrich Gauss,"['theorem', 'theorem proving', 'mathematician']","['Theorem', 'Theorem', 'Mathematician']"
Venn diagram,"['set', 'number', 'diagram']","['Set (mathematics)', 'Number', 'Diagram (mathematical logic)']"
Projection formula,"['area', 'surface', 'projection']","['Area', 'Surface (mathematics)', 'Projection (mathematics)']"
Feasible region,"['set', 'coordinate', 'space']","['Set (mathematics)', 'Coordinate system', 'Space (mathematics)']"
Parallel projection,"['surface', 'plane', 'projection']","['Surface (mathematics)', 'Plane (geometry)', 'Projection (mathematics)']"
Logarithm of a matrix,"['matrix', 'element', 'original']","['Matrix (mathematics)', 'Element (mathematics)', 'Involution (mathematics)']"
Partial least squares regression,"['estimation', 'model', 'parameter']","['Estimation', 'Mathematics', 'Parameter']"
Binary code,"['binary number', 'digit', 'arithmetic']","['Binary number', 'Digit sum', 'Arithmetic']"
Incomplete LU factorization,"['LU decomposition', 'incomplete LU factorization']",['LU decomposition']
Geometric transformation,"['change', 'shape', 'figure']","['Rate (mathematics)', 'Shape', 'Shape']"
Quadratic equation,"['coefficient', 'polynomial', 'equation']","['Coefficient', 'Polynomial', 'Equation']"
Linear fractional transformation,"['operation', 'convert', 'number']","['Operation (mathematics)', 'Vector (mathematics and physics)', 'Number']"
Cramer's rule,"['rule', 'thumb', 'mathematician']","['Curl (mathematics)', 'Mathematician']"
Mersenne prime,"['prime number', 'number', 'concept']","['Prime number', 'Number', 'Concept']"
Prime number,"['prime number', 'number', 'concept']","['Number', 'Concept']"
Least-squares adjustment,"['fit', 'model', 'data']","['Curve fitting', 'Mathematics', 'Mathematics']"
Index (economics),"['change', 'time', 'variable']","['Rate (mathematics)', 'Local time (mathematics)', 'Variable (mathematics)']"
Common Core,"['set', 'curriculum', 'standard']","['Set (mathematics)', 'Curriculum', 'Knot (mathematics)']"
Divisor,"['product', 'number', 'number system']","['Product (mathematics)', 'Number', 'Number']"
Cauchy theorem,"['theorem', 'continuous', 'function']","['Theorem', 'Continuous function', 'Function (mathematics)']"
Cauchy–Schwarz inequality,"['tangent', 'curve', 'normal']","['Tangent', 'Curve', 'Normal mode']"
Homological algebra,"['group', 'homomorphism', 'element']","['Group (mathematics)', 'Homomorphism', 'Element (mathematics)']"
Parallelepiped,"['polygon', 'length', 'width']","['Polygon', 'Length', 'Clique-width']"
Thompson sampling,"['mean', 'population', 'sample']","['Mean', 'World population', 'Sampling (statistics)']"
Gödel's incompleteness theorems,"['theorem', 'logic', 'theorem']","['Theorem', 'Logic', 'Theorem']"
Approximation,"['model', 'problem', 'solution']","['Mathematics', 'Word problem (mathematics)', 'Equation']"
Conjugate prior,"['a priori probability', 'probability theory']","['Prior probability', 'Probability theory']"
Formal language,"['set', 'rule', 'language']","['Set (mathematics)', ""Cramer's rule""]"
Universal property,"['property', 'property of', 'object']","['Property (mathematics)', 'Property (mathematics)', 'Category (mathematics)']"
Weyl tensor,"['field', 'vector', 'combination']","['Field (mathematics)', 'Vector (mathematics and physics)', 'Combination']"
Skew-symmetric matrix,"['skewed matrix', 'eigenvalue', 'eigenvector']","['Normal matrix', 'Degeneracy (mathematics)', 'Eigenface']"
Exterior algebra,"['set', 'element', 'group']","['Set (mathematics)', 'Element (mathematics)', 'Group (mathematics)']"
Number,"['number', 'whole', 'number system']",['Locus (mathematics)']
Law of cosines,['cosine rule'],['Slide rule']
Guitar tunings,"['pitch', 'string', 'set']","['Pitch (music)', 'String (computer science)', 'Set (mathematics)']"
Jacobi identity,"['complex number', 'real number']","['Complex number', 'Real number']"
