concept,dep_articles_de2,dep_articles_de3,dep_articles
Carl Friedrich Gauss,"['Canonical form', 'Echelon formation', 'Elementary matrix', 'Hermite normal form', 'Matrix decomposition']","['Matrix (mathematics)', 'Polynomial', 'Algorithm', 'Elementary matrix', 'ISO 10303-21']","['Echelon formation', 'Matrix decomposition', 'Hermite normal form', 'Canonical form', 'Algorithm', 'Polynomial', 'Elementary matrix', 'ISO 10303-21', 'Matrix (mathematics)']"
Echelon formation,"['Canonical form', 'Distance matrix', 'Elementary mathematics', 'Matrix (mathematics)', 'Pivot element']","['Row echelon form', 'Matrix (mathematics)', 'System of linear equations', 'Elementary matrix', 'Augmented matrix']","['System of linear equations', 'Augmented matrix', 'Row echelon form', 'Elementary mathematics']"
Dual module,['Free module'],"['Module (mathematics)', 'Free module', 'Matrix (mathematics)', 'Finitely generated module', 'Vector space']","['Matrix (mathematics)', 'Free module', 'Vector space', 'Module (mathematics)', 'Finitely generated module']"
Level-set method,"['Partial fraction decomposition', 'Regular expression']","['Equation', 'Fraction', 'Algebraic fraction', 'Like terms', 'Decomposition']","['Regular expression', 'Fraction', 'Algebraic fraction', 'Decomposition', 'Partial fraction decomposition', 'Equation', 'Like terms']"
Conjecture,[],[],[]
Transpose,"['Conjugate transpose', 'Matrix (mathematics)', 'Matrix multiplication', 'Symmetric matrix', 'Identity matrix']","['Matrix (mathematics)', 'Field extension', '.example', 'Mathematical proof', 'Diagonal matrix']","['Matrix multiplication', '.example', 'Field extension', 'Matrix (mathematics)', 'Mathematical proof']"
Orbital state vectors,"['State-transition matrix', 'Transition kernel']","['Probability', 'Markov chain', 'Lunch', 'Quantum state', 'Euclidean vector']","['Euclidean vector', 'Lunch', 'State-transition matrix', 'Quantum state', 'Transition kernel', 'Markov chain', 'Probability']"
Nilpotent matrix,"['Nilpotent', 'Eigenvalues and eigenvectors']","['Vector space', 'Matrix (mathematics)', 'Polynomial', 'Nilpotent', 'Diagonal matrix']","['Vector space', 'Nilpotent', 'Polynomial', 'Diagonal matrix', 'Matrix (mathematics)']"
Bessel's inequality,[],"['Euclidean vector', 'Inner product space', 'Product topology', 'If and only if', 'Vector space']","['Vector space', 'Euclidean vector', 'Product topology', 'Inner product space', 'If and only if']"
Modulo (mathematics),['Euclidean algorithm'],"['Modular arithmetic', 'Integer (computer science)', 'Arithmetic', 'Long division', 'Saturn']","['Saturn', 'Integer (computer science)', 'Arithmetic', 'Euclidean algorithm', 'Long division', 'Modular arithmetic']"
Homogeneous differential equation,[],"['System of linear equations', 'Variable (mathematics)', 'Surjective function', 'Linear map', 'Mathematical proof']","['Surjective function', 'Linear map', 'System of linear equations', 'Variable (mathematics)', 'Mathematical proof']"
Vector algebra,"['Euclidean vector', 'Parallelogram law', 'Vector space']","['Euclidean vector', 'Scalar multiplication', 'Algebra', 'Dimension', 'Geodetic datum']","['Parallelogram law', 'Vector space', 'Algebra', 'Euclidean vector', 'Dimension', 'Scalar multiplication', 'Geodetic datum']"
Logarithm of a matrix,['Projection (linear algebra)'],"['Diagonalizable matrix', 'Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'Music', 'Rotation matrix']","['Diagonalizable matrix', 'Rotation matrix', 'Music', 'Matrix (mathematics)', 'Projection (linear algebra)', 'Eigenvalues and eigenvectors']"
Logarithm,[],"['Function (mathematics)', 'Exponential function', 'Exponentiation', 'Bracket', 'Inverse function']","['Function (mathematics)', 'Exponentiation', 'Exponential function', 'Inverse function', 'Bracket']"
History of mathematics,"['Linear subspace', 'Vector space']","['Vector space', 'Matrix (mathematics)', 'Intersection (set theory)', 'Scalar (mathematics)', 'Linear subspace']","['Intersection (set theory)', 'Vector space', 'Linear subspace', 'Matrix (mathematics)', 'Scalar (mathematics)']"
Haredi Judaism,[],[],[]
Altitude (triangle),['Vector notation'],"['Knot (unit)', 'Exercise', 'Euclidean vector', 'Plane (geometry)', 'Triangle']","['Triangle', 'Knot (unit)', 'Vector notation', 'Euclidean vector', 'Exercise', 'Plane (geometry)']"
Shape,"['Matrix (mathematics)', 'Triangular matrix']","['Matrix (mathematics)', 'System of linear equations', 'Geometry', 'Column', 'Mathematics']","['Mathematics', 'Geometry', 'System of linear equations', 'Triangular matrix', 'Column', 'Matrix (mathematics)']"
Force,[],"['Euclidean vector', 'Linear map', 'Inverse function', 'Identity function', 'Vector space']","['Linear map', 'Vector space', 'Identity function', 'Euclidean vector', 'Inverse function']"
Monomial,"['Coefficient', 'Degree (graph theory)', 'Leading-order term', 'Order of a polynomial', 'Polynomial']",[],"['Order of a polynomial', 'Coefficient', 'Polynomial', 'Degree (graph theory)', 'Leading-order term']"
General linear group,"['Gaussian elimination', 'System of linear equations']","['Mathematical proof', 'Linear map', 'Isomorphism', 'Triangular matrix', 'Invertible matrix']","['Mathematical proof', 'Linear map', 'System of linear equations', 'Isomorphism', 'Gaussian elimination']"
Code,['Modulo (mathematics)'],"['Matrix (mathematics)', 'Unitary matrix', 'Hermitian matrix', 'Invertible matrix', 'Skew-Hermitian matrix']","['Modulo (mathematics)', 'Hermitian matrix', 'Skew-Hermitian matrix', 'Unitary matrix', 'Matrix (mathematics)', 'Invertible matrix']"
Divergence (disambiguation),[],"['Geometric series', 'Series (mathematics)', 'Infinity', 'Formula', 'Sequence']","['Sequence', 'Series (mathematics)', 'Geometric series', 'Infinity', 'Formula']"
Parity bit,[],"['Matrix (mathematics)', 'Electric generator', 'Column', 'Linear code', 'Row echelon form']","['Linear code', 'Row echelon form', 'Electric generator', 'Column', 'Matrix (mathematics)']"
Graph of a function,['Y-intercept'],"['Cartesian coordinate system', 'Equation', 'Point (geometry)', 'Variable (mathematics)', 'Zero of a function']","['Cartesian coordinate system', 'Y-intercept', 'Variable (mathematics)', 'Point (geometry)', 'Equation', 'Zero of a function']"
Google matrix,"['PageRank', 'Eigenvalues and eigenvectors', 'ALGOL 58', 'Alex Sink']","['Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'PageRank', 'Google', 'Surfing']","['Matrix (mathematics)', 'PageRank', 'Alex Sink', 'ALGOL 58', 'Google', 'Surfing', 'Eigenvalues and eigenvectors']"
Division (mathematics),"['Affine transformation', 'Lorentz transformation', 'Gaussian elimination', 'System of linear equations']","['Transformation matrix', 'Multiplication', '.example', 'Geometric transformation', 'Rugby league positions']","['Multiplication', 'Geometric transformation', 'Gaussian elimination', 'Rugby league positions', 'System of linear equations', 'Transformation matrix', '.example', 'Lorentz transformation']"
Control variable,[],"['Function (mathematics)', 'Ordered pair', 'Domain of a function', 'Dependent and independent variables', 'Set-theoretic definition of natural numbers']","['Function (mathematics)', 'Domain of a function', 'Set-theoretic definition of natural numbers', 'Ordered pair', 'Dependent and independent variables']"
Resistor,"['Flow network', 'Condition number']","['Volt', 'Ampere', 'Electrical resistance and conductance', 'Ohm', 'Electric battery']","['Electrical resistance and conductance', 'Condition number', 'Electric battery', 'Flow network', 'Ampere', 'Volt', 'Ohm']"
1,"['Canonical form', 'Echelon formation', 'Elementary matrix', 'Hermite normal form', 'Matrix decomposition']","['Matrix (mathematics)', 'Row echelon form', 'Zero of a function', 'Elementary matrix', 'Redox']","['Redox', 'Echelon formation', 'Matrix decomposition', 'Hermite normal form', 'Canonical form', 'Zero of a function', 'Elementary matrix', 'Row echelon form', 'Matrix (mathematics)']"
Consistent and inconsistent equations,"['Least squares', 'Line chart']","['Square matrix', 'Projection (linear algebra)', 'Transpose', 'Symmetry', 'Topic (DJ)']","['Topic (DJ)', 'Line chart', 'Least squares', 'Transpose', 'Square matrix', 'Symmetry', 'Projection (linear algebra)']"
Hadamard matrix,['Linear equation'],[],['Linear equation']
DFT matrix,"['Laplace expansion', 'Adjugate matrix', 'Matrix (mathematics)']","['Determinant', 'Permutation matrix', 'Matrix (mathematics)', 'Swap (finance)', 'Column']","['Laplace expansion', 'Adjugate matrix', 'Swap (finance)', 'Permutation matrix', 'Determinant', 'Column', 'Matrix (mathematics)']"
Completing the square,"['Quadratic equation', 'Quadratic formula']","['Square root', 'Quadratic equation', 'Equals sign', 'Quadratic formula', 'Coefficient']","['Square root', 'Equals sign', 'Quadratic formula', 'Coefficient', 'Quadratic equation']"
Square root of 2,"['Completing the square', 'Quadratic equation']","['Square root', 'Quadratic equation', 'Nth root', 'Equals sign', 'Zero-product property']","['Completing the square', 'Square root', 'Zero-product property', 'Equals sign', 'Nth root', 'Quadratic equation']"
Angle,"['Perpendicular', 'Vector space']","['Euclidean vector', 'Orthogonality', 'Inverse trigonometric functions', 'Dot product', 'If and only if']","['Vector space', 'Inverse trigonometric functions', 'Euclidean vector', 'Dot product', 'Orthogonality', 'Perpendicular', 'If and only if']"
Smooth maximum,[],"['Graph (discrete mathematics)', 'Maxima and minima', 'Function (mathematics)', 'Domain of a function', 'Maxima (software)']","['Function (mathematics)', 'Domain of a function', 'Graph (discrete mathematics)', 'Maxima and minima', 'Maxima (software)']"
Median,[],"['Exercise', 'Euclidean vector', 'Point (geometry)', 'Vertex (geometry)', 'Triangle']","['Triangle', 'Euclidean vector', 'Point (geometry)', 'Exercise', 'Vertex (geometry)']"
Form factor (electronics),[],"['Module (mathematics)', 'Multilinear map', 'Transpose', 'Formula', 'Function (mathematics)']","['Function (mathematics)', 'Multilinear map', 'Module (mathematics)', 'Transpose', 'Formula']"
Matrix coefficient,"['Function (mathematics)', 'Triangular matrix', 'Elementary mathematics']","['Matrix (mathematics)', 'Linear equation', 'System of linear equations', 'Coefficient', 'Cattle']","['Function (mathematics)', 'Elementary mathematics', 'Cattle', 'Coefficient', 'System of linear equations', 'Triangular matrix', 'Matrix (mathematics)', 'Linear equation']"
Linearity,"['Normed vector space', 'Vector space', 'Function (mathematics)', 'Scatter plot']","['Function (mathematics)', 'Vector space', 'Point (geometry)', 'Dependent and independent variables', 'Coordinate system']","['Function (mathematics)', 'Vector space', 'Scatter plot', 'Point (geometry)', 'Normed vector space', 'Dependent and independent variables']"
Nonlinear control,['Set-builder notation'],"['Euclidean vector', 'Linear algebra', 'Matrix (mathematics)', 'Mathematical notation', 'System of linear equations']","['Euclidean vector', 'System of linear equations', 'Linear algebra', 'Matrix (mathematics)', 'Mathematical notation', 'Set-builder notation']"
Population dynamics,['Recurrence relation'],"['Animal', 'Eigenvalues and eigenvectors', 'Park', 'Matrix (mathematics)', 'World population']","['World population', 'Recurrence relation', 'Park', 'Animal', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Geometry processing,[],"['Matrix (mathematics)', 'Linear map', 'Codomain', 'Transformation matrix', 'Robotics']","['Linear map', 'Robotics', 'Codomain', 'Transformation matrix', 'Matrix (mathematics)']"
Earthquake engineering,"['Exponential decay', 'Exponential growth']","['Virus', 'Logarithm', 'Decibel', 'Bacteria', 'Compound (linguistics)']","['Exponential decay', 'Compound (linguistics)', 'Exponential growth', 'Virus', 'Decibel', 'Bacteria', 'Logarithm']"
Algebraic structure,"['Parallel transport', 'Parallelogram law', 'Unit vector', 'Vector space']","['Euclidean vector', 'Unit vector', 'Distributive property', 'Scalar (mathematics)', 'Associative property']","['Unit vector', 'Parallelogram law', 'Vector space', 'Euclidean vector', 'Associative property', 'Scalar (mathematics)', 'Parallel transport', 'Distributive property']"
Orthogonal polynomials,"['Linear algebra', 'Orthogonality (mathematics)', 'Orthonormal basis']","['Orthogonality', 'Orthonormality', 'Euclidean vector', 'Field extension', 'Polynomial']","['Orthonormality', 'Orthogonality (mathematics)', 'Euclidean vector', 'Polynomial', 'Orthogonality', 'Linear algebra', 'Orthonormal basis', 'Field extension']"
Quotient space (linear algebra),['Quotient space (topology)'],"['Scalar multiplication', 'Vector space', 'Mathematical proof', 'Quotient space (topology)', 'Affine transformation']","['Vector space', 'Affine transformation', 'Quotient space (topology)', 'Scalar multiplication', 'Mathematical proof']"
Crystal structure,['Crystal (mathematics)'],"['Nuclear graphite', 'Atom', 'Angstrom', 'Chemical bond', 'Pencil']","['Nuclear graphite', 'Angstrom', 'Atom', 'Pencil', 'Crystal (mathematics)', 'Chemical bond']"
Noise (signal processing),['Modulo (mathematics)'],"['Matrix (mathematics)', 'Unitary matrix', 'Hermitian matrix', 'Invertible matrix', 'Skew-Hermitian matrix']","['Modulo (mathematics)', 'Hermitian matrix', 'Skew-Hermitian matrix', 'Unitary matrix', 'Matrix (mathematics)', 'Invertible matrix']"
Closure (mathematics),"['Linear span', 'Linear independence', 'Linear combination', 'Vector space', 'Spanning tree']","['Linear combination', 'Euclidean vector', 'Linear algebra', 'Linear subspace', 'Charitable organization']","['Linear combination', 'Vector space', 'Euclidean vector', 'Charitable organization']"
Numerical methods for ordinary differential equations,"['Numerical methods for ordinary differential equations', 'System of linear equations']","['Variable (mathematics)', 'System of linear equations', 'Equation', 'Triviality (mathematics)', 'Row echelon form']","['System of linear equations', 'Row echelon form', 'Variable (mathematics)', 'Equation', 'Triviality (mathematics)']"
Algebraic expression,['Matrix multiplication'],[],['Matrix multiplication']
Quadrature (mathematics),[],"['Polynomial', 'Exponentiation', 'Variable (mathematics)', 'Fraction', 'Monomial']","['Exponentiation', 'Polynomial', 'Monomial', 'Variable (mathematics)', 'Fraction']"
Trinomial,"['Coefficient', 'Degree (graph theory)', 'Leading-order term', 'Order of a polynomial', 'Polynomial']",[],"['Order of a polynomial', 'Coefficient', 'Polynomial', 'Degree (graph theory)', 'Leading-order term']"
Partial least squares regression,[],"['Linear regression', 'Chirp', 'Model (person)', 'Temperature', 'Data']","['Temperature', 'Model (person)', 'Data', 'Chirp', 'Linear regression']"
Complemented subspace,"['Direct sum', 'Concatenation']","['Vector space', 'Direct sum of modules', 'Linear subspace', 'Matrix (mathematics)', 'Basis (linear algebra)']","['Vector space', 'Linear subspace', 'Basis (linear algebra)', 'Direct sum of modules', 'Concatenation', 'Matrix (mathematics)', 'Direct sum']"
